FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Omelette,10.1,54.79,772.94,55.82,55.82,0.74,7.75,8.59,302.94,230.86,117.3,272.07,82.56,1.74,4.87,0.07,243.04,58.89,0.05,0.24
Ful Medames,12.66,41.76,254.93,17,7.55,0.73,4.2,37.77,517.9,144.63,194.36,265.25,56.2,4.51,2.33,0.12,471.99,27.77,0.4,0.13
Beef Liver,7.53,75.07,779.47,127.55,18.9,1.72,6.61,18.9,287.18,248.76,155,163.58,95.18,4.27,0.45,0.4,737.13,16.18,0.26,0.31
Kaak,7.55,76.68,1510.43,21.58,79.12,1.06,7.35,107.89,420.63,169.8,110.63,85.63,24.77,0.48,3.48,0.35,728.81,38.06,0.44,0.02
Imam Bayildi,4.78,57.21,441.69,7.79,23.38,1.55,4.22,51.96,96.66,192.26,45.31,237.04,67.35,1.77,2.49,0.13,296.84,34.57,0.2,0.26
Chicken Liver,1.48,46.23,492.81,71.68,14.93,1.31,2.85,2.99,567.18,381.62,105.37,205.07,109.46,2.07,1.32,0.36,36.26,10.09,0.33,0.34
Dates,9.53,74.46,518.02,4.59,0.73,1.03,5.02,137.77,35.85,371.58,193.16,186.28,84.7,0.36,4.66,0.4,493.8,12.81,0.13,0.5
Black Eyed Peas,2.71,47.73,421.3,22.69,4.86,2.25,6.05,71.3,491.57,594.31,64.87,138.05,58,3.86,4.09,0.32,438,42.36,0.1,0.42
Kaak,14.12,79.14,367.13,5.24,19.23,1.88,4.31,26.22,88.28,516.43,33.03,148.24,79.71,2.93,2.6,0.3,150.25,47.41,0.21,0.42
Omelette,11.61,70.16,931.05,67.24,67.24,2.18,2.19,10.34,46.66,387.61,133.27,260.06,79.21,2.41,3.27,0.3,288.36,3.33,0.3,0.49
Qatayef Asafiri,7.04,40.08,563.19,9.39,22.53,1.93,6.29,75.09,588.38,148.73,171.72,188.09,118.99,2.35,0.72,0.12,294.28,51.8,0.47,0.07
Imam Bayildi,2.24,43.56,318.54,5.62,16.86,0.61,2.68,37.47,119.52,139.66,101.09,217.63,43.84,0.81,1.77,0.14,483.25,30.86,0.05,0.46
Olive Oil,10.09,60.96,1148.13,0,129.88,1.25,5.91,0,264.76,246.38,74.69,228.23,37.86,2.3,2.2,0.33,556.74,59.6,0.44,0.48
Mahshi Pepper,11.61,50.33,362.85,9.9,9.9,2.26,5.56,65.97,452.6,479.95,75.35,153.67,58.33,3.37,4.5,0.27,491.56,39.91,0.4,0.5
Dates,14.47,68.84,136.6,1.21,0.19,1.05,5.23,36.33,352.52,116.5,23.18,281.17,46.83,3.5,4.83,0.31,196.71,37.93,0.15,0.28
Rice Pudding,4.1,72.35,447.47,11.19,11.19,1.29,0.22,82.04,599.05,591.46,134.38,167.86,93.93,3.66,4.83,0.08,544.77,47.98,0.47,0.28
Bamia,9.54,62.17,253.26,11.92,8.94,1,6.74,29.79,204.67,428,11.48,278.84,38.92,2.97,2.83,0.05,131.57,45.49,0.1,0.25
Butter,3.44,65.65,2180.68,2.74,246.35,2.13,2.19,0.3,80.69,415.09,43.28,176.29,22.06,1.79,3.32,0.01,222.64,6.98,0.25,0.15
Baladi Bread,6.58,79.58,199.7,6.66,1.12,2.13,2.26,39.64,384.21,189.2,33.91,176.97,20.82,0.48,4.64,0.39,114.25,39.26,0.02,0.06
Chicken Thigh Stewed,6.16,48.53,602.25,74.56,31.55,0.64,6.51,0,418.1,282.4,91.69,164.26,64.07,1.45,2,0.12,718.08,38.25,0.06,0.36
Taameya Fried,10.68,51.92,1234.46,50.15,69.44,1.2,5.47,100.3,146.83,415.73,166.43,255.04,99.42,5.29,1.45,0.18,425.15,24.87,0.39,0.48
Kaak,11.37,46.33,1299.93,18.57,68.09,2.3,1.29,92.85,413.1,254.06,36.38,172.2,44.38,4.65,4.72,0.49,595.83,23.31,0.05,0.28
Omelette,13.09,65.71,484.79,35.01,35.01,0.54,5.49,5.39,498.91,178.13,64.01,112.27,25.55,2.86,2.69,0.03,701.29,22.32,0.46,0.44
Mahshi Vine Leaves,2.77,56.19,611.75,10.2,20.39,1.18,0.91,91.76,30.58,543.61,26.56,112.6,105.64,2.68,2.89,0.49,506.04,26.85,0.25,0.3
Mahshi Pepper,2.57,65.19,564.67,15.4,15.4,1.89,4.57,102.67,339.92,277.21,56.38,227.77,71.88,3.53,2.9,0.37,303.62,26,0.45,0.3
Mango,13.75,40.37,230.99,3.08,1.54,0.82,4.91,57.75,202.68,130.18,72.92,89.49,67.72,5.55,4.74,0.23,109.6,25.22,0.16,0.34
Freekeh Cooked,1.17,69.7,66.07,2.64,0.99,2.37,2.95,13.21,349.84,138.88,102.99,238.9,40.73,5.2,1.19,0.37,312.2,52.24,0.49,0.48
Ful Medames with Oil,3.94,46.34,473.61,21.31,23.68,2.23,6.42,47.36,402.9,535.67,26.38,257.98,86.78,4.06,3.55,0.25,204.57,23.62,0.34,0.02
Rice Pudding,9.6,63.9,422.65,10.57,10.57,2.23,5.57,77.49,466.16,360.21,125.55,197.17,94.63,1.42,0.59,0.17,200.96,34.4,0.35,0.37
Rice Pudding,1.8,48.21,378.5,9.46,9.46,0.63,2.9,69.39,225.11,243.4,167.08,57.04,41.87,5.63,4.43,0.25,248.95,47.34,0.48,0.43
Atayef,1.24,65.79,1063.63,19.94,39.89,2.1,3.32,132.95,107.55,447.18,74.86,215.39,28.54,4.65,0.28,0.18,593.79,9.46,0.33,0.07
Roasted Chicken,14.81,55.31,511.96,60.95,26.82,1.26,3.95,0,348.42,289.99,126.22,272.05,36.62,5.42,2.91,0.49,567.82,38.09,0.41,0.03
Domiati Cheese,11.88,69.5,1101.86,57.13,89.78,1.41,1.79,12.24,363.27,210,27.25,218.17,30.74,4.59,0.47,0.47,604.88,17.42,0.44,0.44
Tamarind Drink,1.14,59.67,183.44,2.2,0.73,0.88,4.67,47.69,471.28,154.44,142.93,77.51,83.66,5.88,3.02,0.49,257.37,39.11,0.49,0.15
Sahlab,12.09,64.64,490.02,9.8,16.33,1.55,7.58,81.67,157.88,218.31,121.98,196.94,21.56,4.48,0.73,0.5,375.31,22.52,0.14,0.48
Freekeh Cooked,7.36,58.15,324.87,12.99,4.87,1.86,2.75,64.97,70.06,330.61,182.11,54.53,103.36,2.48,4.01,0.08,377.19,29.85,0.38,0.15
Black Eyed Peas,3.02,63.7,597.15,32.15,6.89,0.71,0.89,101.06,293.83,275.95,184.99,178.36,16.75,4.78,2.12,0.34,50.44,10.67,0.41,0.4
Pasta Cooked,9.21,52.62,677.21,24.86,3.86,2.23,6.27,132.44,343.13,198.72,113.84,103.68,117.48,2.04,4.57,0.21,274.58,3.52,0.17,0.18
Shorbat Freekeh,9.79,59.9,127.52,6.71,4.03,2.43,1.94,20.13,244.05,293.36,148.24,87.11,113.67,2.65,4.41,0.02,139.65,33.76,0.33,0.13
Chicken Liver,8.7,49.54,671.08,97.61,20.34,0.98,0.53,4.07,145.03,381.02,52.07,136.38,93.21,1.37,0.62,0.08,523,17.64,0.03,0.09
Shorbat Freekeh,3.04,66.33,287.39,15.13,9.08,2.19,1.74,45.38,106.37,109.82,10.08,287.87,78.69,2.85,1.64,0.22,228.37,45.01,0.3,0.45
Omelette,13.27,65.51,407.96,29.46,29.46,1.45,4.46,4.53,387.43,223.16,11.68,197.76,70.65,1.01,4.43,0.17,706.78,42.42,0.25,0.1
Yogurt,3.15,40.4,157.68,9.2,7.88,2.21,1.59,13.14,373.73,285.88,66.91,143.46,82.25,2.66,3.8,0.4,554.83,41.66,0.34,0.46
Cooked White Rice,6.14,54.69,601.54,11.11,1.39,1.12,4.44,129.56,380.81,467.49,22.09,153.37,79.87,4.78,0.44,0.17,353.02,21.1,0.27,0.1
Roasted Chicken,14.97,73.55,604.53,71.97,31.67,1.63,5.91,0,328.92,360.38,121.81,79.97,32.46,0.43,2.69,0.43,99.33,3.52,0.04,0.36
Labneh,11.51,44.96,407.28,33.94,27.15,1.79,0.25,10.18,367.88,557.09,70.75,242.9,35.22,4.58,4.71,0.1,91.47,13.68,0.16,0.26
Omelette,4.24,56.93,804.65,58.11,58.11,1.14,5.55,8.94,115.23,368.11,57.67,213.72,47.88,0.51,1.24,0.04,90.92,27.91,0.27,0.27
Kofta,6.33,57.07,484.43,37.26,33.54,1.59,7.07,9.32,520.48,378.02,187.61,233.96,32.55,4.81,1.27,0.13,135.03,13.36,0.24,0.02
Sobia,2.46,54.65,146.21,2.09,5.22,1.17,2.86,20.89,63.42,232.7,60.27,186.16,40.79,2.04,4.31,0.24,465.17,59.32,0.14,0.29
Om Ali,11.59,74.34,1113.19,30.36,40.48,1.31,6.65,151.8,179.31,274.32,139.56,236.86,95.42,2.01,1.86,0.08,165.34,46.84,0.07,0.48
Domiati Cheese,10.08,57.01,167.42,8.68,13.64,0.74,0.25,1.86,158.08,425.17,183.03,118.34,73.38,3.84,4.12,0.03,394.19,50.21,0.38,0.07
Taameya Baked,6.49,48.38,649.99,35.21,27.08,1.26,0.59,54.17,46.84,264.45,40.24,235.89,38.09,1.35,0.72,0.24,102.26,58.08,0.38,0.05
Kashkaval Cheese,7.36,65.32,463.89,33.14,37.11,2.25,2.82,2.65,54.35,239.35,25.17,250.5,105.66,2.53,3.55,0.48,796.46,39.04,0.37,0.48
Basbousa,3.61,50.96,300.7,4.06,9.75,0.51,6.72,44.7,452.11,373.71,148.52,216.55,117.05,0.85,2.59,0.37,296.26,27.49,0.14,0.11
Dates,11.24,75.41,396.78,3.52,0.56,1.86,4.71,105.53,313.94,466.31,30.52,58.77,11.63,3.76,1.64,0.14,545.6,13.35,0.14,0.26
Hawawshi,1.98,70.55,399.76,16.76,15.47,1.43,7.86,43.84,286.78,313.4,104.01,106.72,16.12,0.66,2.63,0.49,500.72,13.88,0.43,0.27
Molokhia with Chicken,6.94,41.34,301.21,14.27,11.1,1.16,7.81,38.05,191.34,564.16,148.81,69.95,34.55,2.96,3.62,0.5,117.52,0.61,0.39,0.2
Karkade,10.48,52.15,51.44,0.17,0,2.03,1.46,12,504.75,358.25,15.98,83.48,27.2,5.47,4.8,0.44,251.12,30.18,0.48,0.2
Raw White Rice,8.86,62.59,540.74,10.66,0.9,1.83,6.93,118.66,40.13,423.03,73.32,100.33,68.67,1.4,4.25,0.07,729.21,30.9,0.03,0.02
Molokhia with Chicken,13,43.03,260.54,12.34,9.6,1.14,4.28,32.91,84.15,138.4,17.18,115.16,105.38,2.28,2.54,0.11,231.78,7.99,0.21,0.16
Ful Medames,3.4,42.74,628.12,41.87,18.61,1.64,4.35,93.05,191.73,143.16,58.68,187.17,107.21,5.81,4.4,0.17,780.73,53.22,0.25,0.18
Ful Medames,11.53,68.84,83.11,5.54,2.46,2.48,7.31,12.31,42.7,423.16,105.56,267.5,99.74,4.91,1.81,0.34,686.22,59.91,0.17,0.35
Roasted Chicken,7.7,65.17,886.64,105.55,46.44,2.39,0.37,0,492.52,475.07,18.05,243.43,101.63,5.21,0.95,0.19,733.79,45.76,0.05,0.25
Molokhia,8.37,66.79,172.24,10.96,6.26,0.94,7.55,18.79,517.5,218.68,54.62,261.79,78.51,5.3,3.95,0.14,362.83,12.77,0.32,0.27
Shorbat Freekeh,10.26,72.93,157.16,8.27,4.96,1.85,1.66,24.81,366.71,150.62,110.27,178.1,90.09,0.32,4.03,0.21,307.27,16.34,0.33,0.31
Vegetable Oil,12.85,78.06,497.1,0,56.23,1.77,1.6,0,147.28,453.85,139.42,62.94,37.14,3.84,1.87,0.48,782.49,34.58,0.14,0.28
Roasted Chicken,10.5,63.65,471.62,56.14,24.7,2.13,2.52,0,405.35,201.36,184.65,113.25,40.36,1.85,2.44,0.43,533.59,29.34,0.4,0.14
Orange,14.18,62.54,112.34,2.15,0.24,1.75,2.84,28.68,362.02,506.26,165.07,100.23,43.84,4.02,2.17,0.03,716.17,42.72,0.38,0.48
Black Coffee,11.02,44.11,3.4,0,0,1.3,5.28,0,345.33,270.87,99.51,148.84,24.13,4.97,2.48,0.1,407.9,27.39,0.08,0.48
Pasta Cooked,4.04,72.76,98.08,3.6,0.56,0.81,3.99,19.18,225.72,328.17,86.6,64.09,88.17,0.43,2.57,0.02,207.16,27.38,0.49,0.47
Domiati Cheese,12.29,50.19,959.63,49.76,78.19,2.38,5.93,10.66,599.61,504.18,129.17,82.3,62.79,2.39,1.49,0.49,430.68,9.49,0.04,0.32
Beef Lean,4.17,46.87,924.82,96.18,62.89,1.99,2.57,0,285.31,290.78,23.9,202.97,98.13,1.2,4.81,0.26,629.97,34.82,0.41,0.31
Zucchini Stew,11.34,79.53,151.97,3.38,5.07,0.77,0.64,20.26,107.06,160.77,150.12,202.6,90.78,5.8,2.32,0.13,75.04,25.67,0.46,0.32
Grilled Fish,11.13,65.09,467.82,76.86,16.71,0.88,6.61,0,382.73,304.18,45.31,226.7,117.62,1.15,2.15,0.44,432.73,5.28,0.04,0.44
Beef Liver,4.25,56.82,551.9,90.31,13.38,2.07,1.83,13.38,236.3,367.75,86.37,296.3,99.88,2.73,1.16,0.05,134.84,47.12,0.04,0.45
Konafa,8.12,40.92,1364.61,31.19,58.48,2.25,4.76,175.45,88.25,124.03,188.24,85.4,94.01,1.34,1.42,0.24,652.13,8.05,0.37,0.31
Baladi Bread,1.98,66.84,354,11.8,1.99,0.94,4.67,70.27,562.75,465.43,90.31,82.04,54.68,3.49,0.47,0.32,246.66,13.29,0.35,0.07
Orange,8.31,44.91,131.34,2.51,0.28,1.46,2.5,33.53,98.17,352.25,50.97,75.59,25.47,4.55,2.44,0.27,234.84,32.14,0.3,0.42
Hawawshi,13.09,69.13,1039.19,43.58,40.23,1.61,4.79,113.98,49.61,229.32,100.7,213.05,40.79,1.04,4.92,0.19,300.09,22.49,0.08,0.42
Imam Bayildi,13.17,42.08,694.72,12.26,36.78,1.12,6.58,81.73,198.21,104.92,47.28,282.11,19.34,1.76,2.54,0.43,285.21,49.79,0.32,0.13
Basbousa,4.87,67.33,1384.75,18.71,44.91,1.48,4.73,205.84,500.59,352.91,191.86,224.14,113.27,5.89,4.35,0.25,683.76,54.28,0.34,0.48
Yogurt,11.23,72.2,271.5,15.84,13.58,2.18,2.76,22.63,286.99,118.76,120.31,130.66,75.85,2.21,1.51,0.36,235.62,34.33,0.33,0.4
Shorbat Freekeh,1.55,79.1,359.01,18.9,11.34,1.08,4.69,56.69,328.48,579.94,124.66,289.5,87.02,2.26,2.19,0.11,793.81,53.35,0.35,0.41
Kaak,7.04,78.82,336.41,4.81,17.62,1.31,6.25,24.03,556.87,427.6,197.76,54.72,106.05,1.36,0.39,0.32,26.73,4.8,0.26,0.46
Ghee,6.68,48.82,3058.41,0,339.82,0.68,7.14,0,562.44,210.34,190.61,91.76,15.67,3.16,2.68,0.48,579.25,16.22,0.32,0.15
Cooked White Rice,12,49.91,123.17,2.27,0.28,1.27,5.29,26.53,484.92,586.92,23.65,248.11,51.15,3.65,0.76,0.13,654.9,50.63,0.05,0.32
Molokhia with Chicken,9.04,49.72,250.7,11.88,9.24,1.24,0.26,31.67,62.77,112.59,95.87,125.42,48.62,2.81,3.82,0.46,354.42,1.67,0.49,0.13
Mahshi Mixed,7.26,52.69,679.33,29.11,24.26,0.69,1.48,87.34,159.09,412.16,189.33,195.38,10.39,2.84,0.55,0.41,519.85,19.39,0.32,0.1
Bamia,7.61,71.62,160.86,7.57,5.68,0.55,7.52,18.92,228.63,540.84,47.9,262.26,97.78,5.62,0.47,0.24,456.63,49.49,0.19,0.5
Mahshi Mixed,8.49,62.16,352.11,15.09,12.58,1.01,3.06,45.27,478.84,473.85,84.78,126.3,93.77,0.87,1.63,0.18,575.87,30.47,0.2,0.42
Shorbat Freekeh,0.57,69.58,103.88,5.47,3.28,1.57,2.55,16.4,492.22,436.99,190.34,212.95,40.95,4.54,1.7,0.34,265.78,3.47,0.36,0.2
Mahshi Vine Leaves,0.81,76.67,203.4,3.39,6.78,1.63,6.04,30.51,242.77,546.35,131.54,156.65,94.69,3.99,2.93,0.09,407.83,58.57,0.07,0.34
Atayef,9.42,44,690.64,12.95,25.9,1.3,7.88,86.33,260.19,191.76,39.49,212.92,13.46,0.41,4.11,0.12,572.12,10.64,0.11,0.25
Lamb,8.78,51.85,959.6,81.6,68.54,2.39,1.33,0,356.43,167.43,94.99,193.04,83.19,4.89,1.05,0.28,109.75,49.76,0.37,0.04
Bamia,12.64,49.04,93.35,4.39,3.29,0.6,5.83,10.98,50.11,274.64,88.38,253.07,92.88,0.9,1.21,0.03,297.16,2.33,0.19,0.36
Konafa,10.15,66.24,959.33,21.93,41.11,1.23,4.87,123.34,184.21,504.22,113.63,216.52,50.35,4.61,4.01,0.27,784.59,30.25,0.19,0.07
Chickpeas Cooked,7.48,59.46,189.11,10.38,3,1.75,4.42,31.13,153.26,366.65,20.8,244.04,110.29,4.65,4.59,0.17,571.05,23.76,0.17,0.36
Orange,3.12,46.21,204.72,3.92,0.44,1.52,3.37,52.27,74.83,124.54,150.5,120.93,55.05,1.69,2.26,0.24,142.92,12.64,0.27,0.05
Sahlab,6.81,63.19,464,9.28,15.47,1.06,7.23,77.33,370.76,416.56,31.87,211.21,55.15,1.86,1.15,0.16,382.53,34.29,0.24,0.16
Atayef,7.08,70.18,1014.25,19.02,38.03,1.87,2.87,126.78,87.82,193.16,117.91,118.42,54.29,3.61,0.95,0.32,416.86,33.04,0.23,0.09
Grilled Chicken Breast,9.09,76.86,601.99,113.1,13.13,1.5,4.4,0,399.5,526.25,195.21,240.64,67.35,1.96,1.82,0.16,425.46,10.72,0.25,0.46
Sobia,7.84,76.83,291,4.16,10.39,2.15,2.58,41.57,253.65,500.57,14.81,252.54,41.96,4.15,0.52,0.1,595.05,17.78,0.09,0.22
Beef Lean,8.44,68.36,537.91,55.94,36.58,2.24,2.56,0,512.78,262.46,43.52,264.94,45.94,4.49,3.21,0.35,569.81,40.91,0.46,0.37
Tea with Sugar,4.39,53.06,99.41,0,0,1.89,5.85,24.85,69.08,404.22,158.14,281.73,84.4,5.1,2.26,0.21,48.69,39.49,0.4,0.43
Om Ali,12.69,63.68,415.73,11.34,15.12,1.21,0.81,56.69,290.66,383.84,182.12,199.59,45.25,2.22,1.57,0.29,315.05,22.25,0.28,0.28
Milk Full Fat,8.35,44.12,90.04,4.43,4.85,0.66,0.05,6.65,25.71,181.67,28.75,59.52,101.48,5.33,1.85,0.09,499.7,59.7,0.13,0.16
Konafa,5.76,64.02,568.99,13.01,24.39,2.1,0.1,73.16,389.82,149.53,114.81,245.02,69.58,5.06,1.37,0.16,234.53,41.64,0.29,0.27
Mahshi Vine Leaves,5.54,53.21,312.35,5.21,10.41,0.61,2.37,46.85,237.9,371.05,109.91,139.87,10.89,3.24,0.55,0.08,133.76,46.77,0.19,0.49
Molokhia with Chicken,4.86,47.83,167.78,7.95,6.18,0.59,5.35,21.19,530.81,148.86,14.67,93.44,26.19,5.51,3.89,0.02,335.23,21.83,0.12,0.45
Labneh,1.94,50.47,525.12,43.76,35.01,0.89,3.35,13.13,142.52,536.86,188.99,70.32,90.58,5.9,3.76,0.09,161.48,46.49,0.44,0.32
Moussaka Egyptian,10.97,41.46,606.98,28.01,28.01,1.05,4.34,56.03,326.03,311.84,43.77,240.69,16.5,2.63,4.31,0.5,60.13,10.11,0.13,0.15
Imam Bayildi,4.71,79.69,786.06,13.87,41.62,1.04,7.49,92.48,549.8,187.52,93.04,146.44,52.87,3.85,3.57,0.28,586.25,50.07,0.27,0.18
Olive Oil,12.22,46.64,593.65,0,67.16,1.03,1.38,0,371.59,562.24,16.15,145.03,74.46,1.69,2.43,0.16,747.95,34.81,0.07,0.08
Imam Bayildi,1.43,60.46,474.21,8.37,25.11,2.36,7.59,55.79,590.38,241.52,78.22,278.2,91.8,4.53,0.47,0.14,269.42,37.41,0.41,0.02
Grilled Fish,6.62,55.7,292.43,48.04,10.44,0.52,5.24,0,304.34,446.01,157.5,79.93,20.81,4.37,3.98,0.36,405.3,13.84,0.41,0.35
Freekeh Cooked,6.34,55.13,390.01,15.6,5.85,1.26,6.84,78,404.17,196.62,149.04,101.5,14.33,3.69,0.8,0.49,742.12,54.96,0.06,0.24
Apple,4.67,46.17,74.25,0.43,0.29,0.99,0.63,19.99,518.96,450.01,126.77,289.61,114.7,2.57,0.49,0.2,171.08,55.82,0.42,0.38
Atayef,9.46,55.99,516.4,9.68,19.36,0.97,1.48,64.55,408.72,361.97,56.3,68.69,15.06,1.47,0.57,0.4,372.16,32.19,0.11,0.46
Raw White Rice,13.04,50.73,1286.95,25.38,2.14,1.48,2.64,282.41,577.75,152.28,14.84,145.38,41.79,1.44,2.3,0.39,409.95,38.64,0.31,0.44
Mahshi Pepper,4.6,43.14,223.15,6.09,6.09,0.7,5.45,40.57,504.6,340.87,92.8,224.8,47.12,0.34,1.9,0.28,437.63,13.32,0.34,0.18
Kaak,10.4,71.77,1663.76,23.77,87.15,0.8,3.86,118.84,378.09,527.57,188.49,276.51,114.03,3.93,2.53,0.44,143.63,44.76,0.11,0.26
Roasted Chicken,3.04,70.42,391.52,46.61,20.51,1.7,6,0,293.44,465.35,96.13,161.61,73.22,1.23,3.17,0.43,505.92,55.91,0.21,0.34
Sahlab,13.23,77.77,132.31,2.65,4.41,2,2.74,22.05,172.79,184.49,62.84,74.52,69.86,5.94,4.61,0.26,258.69,40.2,0.13,0.22
Yogurt,5.55,77.43,241.66,14.1,12.08,1.18,5.21,20.14,242.73,369.89,175.96,253.82,79.6,2.8,1.13,0.2,665.04,50.23,0.18,0.28
Labneh,12.7,51.41,313.29,26.11,20.89,1.54,3.13,7.83,227.43,455.67,129.31,184.66,27.72,1,4.96,0.24,122.83,46.69,0.38,0.05
Labneh,10.93,66.73,568.77,47.4,37.92,1.48,0.03,14.22,467.33,184.44,59.32,250.06,51.09,2.85,3.36,0.43,787.11,1.49,0.47,0.38
Banana,8.83,46.59,76.16,0.94,0.26,1.82,2.05,19.68,590.22,224.8,114.41,120.21,75.64,4.04,0.62,0.28,308.55,15.43,0.3,0.18
Sobia,5.1,62.97,124.53,1.78,4.45,0.61,7.08,17.79,442.37,234.64,174.64,284.57,76.26,5.67,2.9,0.38,459.54,23.49,0.44,0.21
Mahshi Pepper,8.79,60.61,468.97,12.79,12.79,1.53,2.26,85.27,491.12,237.55,152.04,160.81,75.6,3.2,2.82,0.17,734.94,13.22,0.44,0.12
Butter,0.17,55.58,1534.41,1.93,173.34,0.65,7.48,0.21,519.85,338.36,15.19,255.45,63.62,3.82,2.29,0.15,421.3,22.63,0.07,0.47
Om Ali,4.64,45.23,307.74,8.39,11.19,1.24,7.33,41.96,297.15,333.53,91.07,50.12,114.64,0.42,4.67,0.48,304.76,53.21,0.25,0.14
Dates,6.3,68.22,1503.66,13.33,2.13,1.86,5.09,399.91,187.44,476.26,44.65,111.25,91.65,3.89,0.5,0.31,594.9,25.18,0.03,0.06
Kaak,3.13,51.27,1873.7,26.77,98.15,2.46,0.67,133.84,49.81,223.85,62.69,154.87,18.31,3.85,4.48,0.48,28.05,59.62,0.01,0.18
Grilled Fish,6.66,66.73,659.02,108.27,23.54,1.31,0.89,0,524.3,306.21,107.33,117.23,24.38,4.96,3.39,0.41,364.56,56.91,0.06,0.06
Tamarind Drink,11.71,53.07,90.37,1.08,0.36,1.06,6.99,23.5,153.79,224.65,58.06,250.29,59.58,2.66,4.77,0.36,371.59,50.77,0.48,0.42
Imam Bayildi,3.57,61.49,280.55,4.95,14.85,1.76,5.94,33.01,108.49,599.31,132.84,258.54,10.37,0.51,4.48,0.32,604.15,49.61,0.29,0.28
Dates,6.42,75.71,727.11,6.45,1.03,0.64,2.01,193.38,170.05,179.11,56.27,179.14,15.68,1.38,0.79,0.18,54.58,7.44,0.29,0.14
Rice Pudding,1.45,48.82,391.66,9.79,9.79,0.86,7.28,71.8,322.58,429.06,178.58,130.69,51.32,5.6,4.76,0.33,170.3,22.21,0.4,0.49
Rice Pudding,12.39,79.84,450.65,11.27,11.27,0.89,5.22,82.62,555.48,233.68,52.41,299.48,92.11,3.44,0.34,0.16,416.04,8.15,0.03,0.47
Shorbat Freekeh,0.08,49.91,208.03,10.95,6.57,1.58,0.03,32.85,565.56,339.74,153.94,191.52,104.13,0.95,4.34,0.28,788.48,41.24,0.36,0.45
Mahshi Mixed,2.87,69.45,527.06,22.59,18.82,1.36,3.69,67.76,280.84,315.7,152.15,157.03,49.38,0.43,2.78,0.02,148.08,39.97,0.48,0.13
Black Eyed Peas,6.94,46.8,639.49,34.43,7.38,1.09,2.58,108.22,377.78,175.03,75.72,231.51,72.63,0.22,4.29,0.35,617.46,27.81,0.31,0.16
Kebab,9.19,61.25,927.53,89.04,59.36,2.08,2.57,3.71,238.69,220.99,86.98,182,22.6,2.54,2.96,0.33,331.61,49.62,0.3,0.3
Ghorayeba,12.87,51.5,752.25,7.84,50.15,0.83,5.91,43.88,366.64,321.18,46.32,201.72,54.78,0.88,2.54,0.13,128.01,23.62,0.21,0.06
Kofta,3.16,62.19,992.42,76.34,68.71,1.28,6.56,19.08,212.54,366.13,127.08,265.24,43.18,0.45,1.58,0.07,551.36,52.9,0.45,0.21
Labneh,13.97,51.29,352.8,29.4,23.52,1.77,1.93,8.82,61.1,397.49,39.78,112.55,68.42,0.77,0.88,0.13,324.2,44.17,0.4,0.39
Kaak,8.14,68.7,705.71,10.08,36.97,1.79,0.15,50.41,428.62,567.39,104.7,253.23,19.88,4.93,1.08,0.5,331.55,58.04,0.24,0.11
Konafa,2.89,76.92,1383.97,31.63,59.31,1.65,5.9,177.94,563.02,232.24,176.13,183.86,93.41,5.44,2.17,0.45,467.36,21.53,0.02,0.25
Kashkaval Cheese,11.79,75.59,838.24,59.87,67.06,1.93,0.96,4.79,10.17,301.43,179.9,134.34,115.1,0.8,2.64,0.34,311.53,52.37,0.37,0.2
Vegetable Oil,2.28,63.76,4176.8,0,472.49,1.39,6.63,0,196.8,380.09,127.95,184.07,16.99,2.18,1.03,0.31,763.96,14.48,0.08,0.02
Mahshi Pepper,12.59,47.2,512.68,13.98,13.98,1.61,1.32,93.21,277.76,532.16,109.51,162.9,67.98,5.58,4.95,0.37,302.56,23.27,0.26,0.47
Sahlab,7.71,66.4,133.64,2.67,4.45,2.43,3.04,22.27,291.68,265.73,150.2,297.01,29.95,3.41,0.99,0.34,648.01,25.95,0.02,0.47
Rice Pudding,3.18,48.49,176.95,4.42,4.42,1.52,0.55,32.44,571.73,305.62,71.93,260.54,30.37,5.82,2.95,0.39,308.47,0.5,0.21,0.46
Imam Bayildi,0.35,73.55,725.47,12.8,38.41,1.58,0.94,85.35,459.72,444.64,144.33,88.11,80.69,2.61,1.87,0.08,182.79,30.55,0.24,0.46
Banana,3.8,63.01,247.16,3.05,0.83,2.41,6.47,63.87,240.21,210.91,29.26,139.34,48.46,3.53,0.98,0.12,740.87,23.45,0.48,0.49
Fried Fish,1.27,46.11,681.69,61.97,43.38,0.86,0.88,0,119.54,457.4,17.85,223.41,28.26,3.84,3.56,0.2,641.32,40.18,0.47,0.13
Domiati Cheese,14.74,44.93,1118.81,58.01,91.16,1.86,1.56,12.43,411.43,414.58,112.98,50.3,74.37,0.64,1.34,0.13,439.92,16.12,0.22,0.47
Kashkaval Cheese,0.47,65.42,898.67,64.19,71.89,0.97,6.77,5.14,411.71,542.83,69.19,269.59,111.59,2.5,1.34,0.09,422.88,8.91,0.32,0.1
